------------
|DANGER LOG|
------------

Gun violence incidents near Disney land in range 5.0 km: 

id : 903388, city : Anaheim, state : California, address : Katella Ave and Gilbert St, Killed : 0, Injured : 0, Distance to You: 4.64
id : 801421, city : Garden Grove, state : California, address : 9500 block of Maureen Dr, Killed : 0, Injured : 1, Distance to You: 4.67
id : 188919, city : Garden Grove, state : California, address : 12200 block of Pearce Avenue, Killed : 0, Injured : 1, Distance to You: 4.71
id : 114538, city : Garden Grove, state : California, address : Lampson and West 8th , Killed : 0, Injured : 0, Distance to You: 4.71
id : 797580, city : Anaheim, state : California, address : Lullaby Ln, Killed : 0, Injured : 1, Distance to You: 4.72
id : 366971, city : Anaheim, state : California, address : 1300 block of West Arlington Avenue, Killed : 0, Injured : 0, Distance to You: 4.79
id : 450975, city : Anaheim, state : California, address : North Onondaga and West Neighbors Avenue, Killed : 1, Injured : 1, Distance to You: 4.82
id : 483013, city : Santa Ana, state : California, address : 3300 block of Bristol Street, Killed : 0, Injured : 1, Distance to You: 4.93
id : 149499, city : Santa Ana, state : California, address : 2900 block of North Bristol Street, Killed : 1, Injured : 0, Distance to You: 5.00

Total Incidents: 62
Total Killed: 21
Total Injured: 38
THE DANGER LEVEL IN THIS AREA IS: HIGH DANGER. Stay Cautious
----------------------------------------------------------------------------------------------------------------------------------------------------------

